DATE,EXCSRESNS
1984-02-01,1606
1984-03-01,668
1984-04-01,474
1984-05-01,570
1984-06-01,759
1984-07-01,630
1984-08-01,681
1984-09-01,650
1984-10-01,618
1984-11-01,698
1984-12-01,836
1985-01-01,743
1985-02-01,850
1985-03-01,675
1985-04-01,737
1985-05-01,753
1985-06-01,922
1985-07-01,841
1985-08-01,835
1985-09-01,698
1985-10-01,745
1985-11-01,919
1985-12-01,1064
1986-01-01,1083
1986-02-01,1014
1986-03-01,884
1986-04-01,773
1986-05-01,879
1986-06-01,920
1986-07-01,874
1986-08-01,741
1986-09-01,690
1986-10-01,717
1986-11-01,902
1986-12-01,1174
1987-01-01,1071
1987-02-01,1193
1987-03-01,921
1987-04-01,857
1987-05-01,1068
1987-06-01,1234
1987-07-01,859
1987-08-01,1051
1987-09-01,785
1987-10-01,1090
1987-11-01,940
1987-12-01,1020
1988-01-01,1252
1988-02-01,1139
1988-03-01,946
1988-04-01,885
1988-05-01,1048
1988-06-01,895
1988-07-01,892
1988-08-01,970
1988-09-01,1017
1988-10-01,1054
1988-11-01,1175
1988-12-01,1062
1989-01-01,1145
1989-02-01,1154
1989-03-01,919
1989-04-01,814
1989-05-01,1043
1989-06-01,909
1989-07-01,983
1989-08-01,892
1989-09-01,945
1989-10-01,1040
1989-11-01,949
1989-12-01,942
1990-01-01,1043
1990-02-01,1001
1990-03-01,882
1990-04-01,871
1990-05-01,955
1990-06-01,788
1990-07-01,869
1990-08-01,876
1990-09-01,914
1990-10-01,841
1990-11-01,928
1990-12-01,1665
1991-01-01,2140
1991-02-01,1805
1991-03-01,1182
1991-04-01,1029
1991-05-01,1035
1991-06-01,996
1991-07-01,905
1991-08-01,1085
1991-09-01,933
1991-10-01,1057
1991-11-01,893
1991-12-01,990
1992-01-01,993
1992-02-01,1045
1992-03-01,1026
1992-04-01,1133
1992-05-01,1004
1992-06-01,924
1992-07-01,976
1992-08-01,939
1992-09-01,1015
1992-10-01,1063
1992-11-01,1043
1992-12-01,1155
1993-01-01,1263
1993-02-01,1094
1993-03-01,1233
1993-04-01,1103
1993-05-01,999
1993-06-01,895
1993-07-01,1068
1993-08-01,953
1993-09-01,1087
1993-10-01,1077
1993-11-01,1121
1993-12-01,1070
1994-01-01,1459
1994-02-01,1149
1994-03-01,984
1994-04-01,1142
1994-05-01,869
1994-06-01,1117
1994-07-01,1117
1994-08-01,1010
1994-09-01,1049
1994-10-01,798
1994-11-01,997
1994-12-01,1171
1995-01-01,1333
1995-02-01,970
1995-03-01,824
1995-04-01,758
1995-05-01,874
1995-06-01,984
1995-07-01,1107
1995-08-01,1006
1995-09-01,972
1995-10-01,1080
1995-11-01,946
1995-12-01,1291
1996-01-01,1468
