DATE,MULT
1984-02-15,2.876
1984-02-29,2.886
1984-03-14,2.866
1984-03-28,2.883
1984-04-11,2.869
1984-04-25,2.880
1984-05-09,2.876
1984-05-23,2.843
1984-06-06,2.879
1984-06-20,2.853
1984-07-04,2.859
1984-07-18,2.854
1984-08-01,2.856
1984-08-15,2.850
1984-08-29,2.858
1984-09-12,2.848
1984-09-26,2.849
1984-10-10,2.845
1984-10-24,2.857
1984-11-07,2.847
1984-11-21,2.847
1984-12-05,2.840
1984-12-19,2.848
1985-01-02,2.864
1985-01-16,2.854
1985-01-30,2.883
1985-02-13,2.892
1985-02-27,2.896
1985-03-13,2.874
1985-03-27,2.891
1985-04-10,2.885
1985-04-24,2.897
1985-05-08,2.881
1985-05-22,2.887
1985-06-05,2.877
1985-06-19,2.876
1985-07-03,2.901
1985-07-17,2.895
1985-07-31,2.909
1985-08-14,2.913
1985-08-28,2.921
1985-09-11,2.912
1985-09-25,2.915
1985-10-09,2.941
1985-10-23,2.922
1985-11-06,2.932
1985-11-20,2.923
1985-12-04,2.927
1985-12-18,2.922
1986-01-01,2.942
1986-01-15,2.940
1986-01-29,2.959
1986-02-12,2.959
1986-02-26,2.955
1986-03-12,2.950
1986-03-26,2.967
1986-04-09,2.964
1986-04-23,2.963
1986-05-07,2.981
1986-05-21,2.990
1986-06-04,2.994
1986-06-18,2.989
1986-07-02,3.004
1986-07-16,3.006
1986-07-30,3.027
1986-08-13,3.026
1986-08-27,3.032
1986-09-10,3.040
1986-09-24,3.055
1986-10-08,3.067
1986-10-22,3.046
1986-11-05,3.065
1986-11-19,3.052
1986-12-03,3.070
1986-12-17,3.082
1986-12-31,3.124
1987-01-14,3.131
1987-01-28,3.102
1987-02-11,3.095
1987-02-25,3.104
1987-03-11,3.110
1987-03-25,3.115
1987-04-08,3.113
1987-04-22,3.103
1987-05-06,3.107
1987-05-20,3.084
1987-06-03,3.105
1987-06-17,3.081
1987-07-01,3.094
1987-07-15,3.079
1987-07-29,3.078
1987-08-12,3.061
1987-08-26,3.064
1987-09-09,3.056
1987-09-23,3.055
1987-10-07,3.055
1987-10-21,3.043
1987-11-04,3.067
1987-11-18,3.041
1987-12-02,3.028
1987-12-16,3.003
1987-12-30,3.024
1988-01-13,2.996
1988-01-27,3.007
1988-02-10,3.023
