DATE,MZM
1980-11-03,906.8
1980-11-10,905.7
1980-11-17,902.7
1980-11-24,899.5
1980-12-01,896.2
1980-12-08,892.6
1980-12-15,890.6
1980-12-22,885.4
1980-12-29,871.7
1981-01-05,868.6
1981-01-12,868.9
1981-01-19,873.8
1981-01-26,875.4
1981-02-02,872.0
1981-02-09,876.3
1981-02-16,880.7
1981-02-23,883.7
1981-03-02,882.7
1981-03-09,887.6
1981-03-16,891.9
1981-03-23,896.0
1981-03-30,903.9
1981-04-06,910.3
1981-04-13,916.2
1981-04-20,919.6
1981-04-27,919.3
1981-05-04,918.1
1981-05-11,914.6
1981-05-18,909.7
1981-05-25,907.1
1981-06-01,907.0
1981-06-08,904.1
1981-06-15,907.2
1981-06-22,910.2
1981-06-29,912.6
1981-07-06,919.0
1981-07-13,918.3
1981-07-20,922.4
1981-07-27,922.1
1981-08-03,922.9
1981-08-10,926.8
1981-08-17,925.1
1981-08-24,925.7
1981-08-31,928.4
1981-09-07,927.7
1981-09-14,932.4
1981-09-21,933.5
1981-09-28,933.9
1981-10-05,935.6
1981-10-12,936.9
1981-10-19,938.7
1981-10-26,940.8
1981-11-02,942.5
1981-11-09,945.5
1981-11-16,950.0
1981-11-23,952.1
1981-11-30,959.0
1981-12-07,965.0
1981-12-14,966.6
1981-12-21,969.2
1981-12-28,968.4
1982-01-04,970.9
1982-01-11,976.7
1982-01-18,979.6
1982-01-25,980.9
1982-02-01,982.3
1982-02-08,978.1
1982-02-15,977.3
1982-02-22,975.4
1982-03-01,976.7
1982-03-08,977.0
1982-03-15,980.1
1982-03-22,981.2
1982-03-29,984.4
1982-04-05,986.9
1982-04-12,990.6
1982-04-19,989.3
1982-04-26,987.9
1982-05-03,985.4
1982-05-10,987.6
1982-05-17,988.5
1982-05-24,992.0
1982-05-31,996.4
1982-06-07,998.4
1982-06-14,1000.6
1982-06-21,999.1
1982-06-28,995.9
1982-07-05,995.6
1982-07-12,995.4
1982-07-19,996.1
1982-07-26,1001.2
1982-08-02,1005.5
1982-08-09,1011.4
1982-08-16,1017.8
1982-08-23,1022.3
1982-08-30,1027.5
1982-09-06,1028.5
1982-09-13,1031.8
1982-09-20,1033.2
1982-09-27,1032.2
1982-10-04,1037.9
1982-10-11,1045.2
1982-10-18,1050.4
1982-10-25,1054.7
1982-11-01,1061.9
1982-11-08,1067.5
1982-11-15,1070.6
1982-11-22,1071.3
1982-11-29,1072.5
1982-12-06,1077.3
1982-12-13,1079.9
1982-12-20,1109.6
1982-12-27,1127.3
1983-01-03,1146.8
1983-01-10,1179.9
1983-01-17,1206.3
1983-01-24,1225.7
1983-01-31,1247.1
1983-02-07,1268.8
1983-02-14,1282.1
1983-02-21,1292.7
1983-02-28,1304.9
1983-03-07,1314.3
1983-03-14,1319.2
1983-03-21,1325.7
1983-03-28,1328.7
1983-04-04,1332.9
1983-04-11,1336.2
1983-04-18,1335.8
1983-04-25,1339.5
1983-05-02,1347.8
1983-05-09,1350.8
1983-05-16,1356.8
1983-05-23,1359.3
1983-05-30,1361.9
1983-06-06,1366.6
1983-06-13,1369.3
1983-06-20,1369.7
1983-06-27,1369.2
1983-07-04,1371.9
1983-07-11,1375.0
1983-07-18,1372.5
1983-07-25,1373.6
1983-08-01,1374.9
1983-08-08,1372.2
1983-08-15,1372.8
1983-08-22,1371.6
1983-08-29,1369.4
1983-09-05,1371.5
1983-09-12,1370.1
1983-09-19,1369.6
1983-09-26,1374.2
1983-10-03,1377.4
1983-10-10,1378.9
1983-10-17,1375.4
1983-10-24,1375.1
1983-10-31,1375.3
1983-11-07,1371.5
1983-11-14,1370.6
1983-11-21,1369.3
1983-11-28,1369.8
1983-12-05,1373.5
1983-12-12,1375.7
1983-12-19,1377.3
1983-12-26,1377.7
1984-01-02,1381.9
1984-01-09,1385.0
1984-01-16,1386.1
1984-01-23,1386.3
1984-01-30,1387.3
1984-02-06,1394.4
1984-02-13,1406.0
1984-02-20,1379.2
1984-02-27,1369.9
1984-03-05,1387.0
1984-03-12,1404.7
1984-03-19,1418.4
1984-03-26,1426.7
1984-04-02,1426.4
1984-04-09,1425.6
1984-04-16,1426.0
1984-04-23,1424.3
1984-04-30,1422.8
1984-05-07,1424.8
1984-05-14,1429.5
1984-05-21,1430.8
1984-05-28,1430.5
1984-06-04,1434.6
1984-06-11,1433.7
1984-06-18,1432.4
1984-06-25,1432.3
1984-07-02,1434.6
1984-07-09,1432.1
1984-07-16,1433.1
1984-07-23,1431.6
1984-07-30,1428.8
1984-08-06,1426.5
1984-08-13,1422.6
1984-08-20,1420.1
1984-08-27,1418.4
1984-09-03,1419.7
1984-09-10,1421.4
1984-09-17,1421.7
1984-09-24,1422.9
1984-10-01,1428.2
1984-10-08,1431.9
1984-10-15,1438.3
1984-10-22,1437.2
1984-10-29,1442.4
1984-11-05,1447.6
1984-11-12,1453.1
1984-11-19,1460.3
1984-11-26,1463.3
1984-12-03,1464.8
