DATE,RHEACBW027SBOG
1987-06-17,23.6385
1987-06-24,23.89
1987-07-01,24.3287
1987-07-08,24.5814
1987-07-15,24.8796
1987-07-22,25.0741
1987-07-29,25.3688
1987-08-05,25.6248
1987-08-12,25.9175
1987-08-19,26.1608
1987-08-26,26.4636
1987-09-02,26.7288
1987-09-09,27.1651
1987-09-16,27.2946
1987-09-23,27.544
1987-09-30,27.9681
1987-10-07,28.0722
1987-10-14,28.3022
1987-10-21,28.5551
1987-10-28,28.7494
1987-11-04,29.0313
1987-11-11,29.5504
1987-11-18,29.551
1987-11-25,29.7523
1987-12-02,29.8438
1987-12-09,30.0269
1987-12-16,30.3406
1987-12-23,30.7596
1987-12-30,31.477
1988-01-06,31.4318
1988-01-13,31.734
1988-01-20,31.8597
1988-01-27,32.0422
1988-02-03,32.1414
1988-02-10,32.3719
1988-02-17,32.4982
1988-02-24,32.4973
1988-03-02,32.7046
1988-03-09,32.889
1988-03-16,32.936
1988-03-23,33.0599
1988-03-30,33.1791
1988-04-06,33.6294
1988-04-13,33.5887
1988-04-20,33.7995
1988-04-27,34.0298
1988-05-04,34.2555
1988-05-11,34.4557
1988-05-18,34.5755
1988-05-25,34.7661
1988-06-01,34.9477
1988-06-08,35.1441
1988-06-15,35.2957
1988-06-22,35.4893
1988-06-29,35.6921
1988-07-06,35.8139
1988-07-13,35.9243
1988-07-20,36.1132
1988-07-27,36.3318
1988-08-03,36.5907
1988-08-10,36.7768
1988-08-17,37.0497
1988-08-24,37.2713
1988-08-31,37.502
1988-09-07,37.6467
1988-09-14,38.0721
1988-09-21,38.4404
1988-09-28,38.5681
1988-10-05,38.9428
1988-10-12,39.129
1988-10-19,39.2678
1988-10-26,39.4808
1988-11-02,39.8538
1988-11-09,40.0328
1988-11-16,40.2858
1988-11-23,40.6494
1988-11-30,40.7317
1988-12-07,40.8538
1988-12-14,41.0505
1988-12-21,41.3187
1988-12-28,41.3116
1989-01-04,41.9862
1989-01-11,42.0341
1989-01-18,42.1744
1989-01-25,42.1597
1989-02-01,42.4203
1989-02-08,42.8954
1989-02-15,43.0046
1989-02-22,43.3196
1989-03-01,43.5852
1989-03-08,43.7347
1989-03-15,44.0066
1989-03-22,44.177
1989-03-29,44.4417
1989-04-05,44.4566
1989-04-12,44.6382
1989-04-19,44.8353
1989-04-26,45.1394
1989-05-03,45.3031
1989-05-10,45.6082
1989-05-17,45.7216
1989-05-24,45.9369
1989-05-31,46.0889
1989-06-07,46.3276
1989-06-14,46.5083
1989-06-21,46.7067
1989-06-28,47.0456
1989-07-05,47.0987
1989-07-12,47.381
1989-07-19,47.6383
1989-07-26,47.6804
1989-08-02,47.8754
1989-08-09,48.1309
1989-08-16,48.3442
1989-08-23,48.5166
1989-08-30,48.6844
1989-09-06,48.8105
1989-09-13,48.9551
1989-09-20,49.2193
1989-09-27,49.3592
1989-10-04,49.1298
1989-10-11,49.3602
1989-10-18,49.6127
1989-10-25,49.8066
1989-11-01,50.0719
1989-11-08,50.1843
1989-11-15,50.4351
1989-11-22,50.7244
1989-11-29,50.7492
1989-12-06,51.0304
1989-12-13,51.3496
1989-12-20,51.4651
1989-12-27,51.6722
1990-01-03,52.038
1990-01-10,52.2834
1990-01-17,52.3994
1990-01-24,52.5706
1990-01-31,52.8134
1990-02-07,52.9288
1990-02-14,53.0703
1990-02-21,53.2359
1990-02-28,53.2729
1990-03-07,53.5951
1990-03-14,53.8907
1990-03-21,54.0884
1990-03-28,54.1798
1990-04-04,54.2075
1990-04-11,54.5824
1990-04-18,54.8392
1990-04-25,55.1522
1990-05-02,55.2822
1990-05-09,55.4376
1990-05-16,55.7325
1990-05-23,56.0009
1990-05-30,56.2471
1990-06-06,56.5246
1990-06-13,56.6509
1990-06-20,56.8917
1990-06-27,57.1149
1990-07-04,57.2127
1990-07-11,57.5986
1990-07-18,57.8733
1990-07-25,58.387
1990-08-01,58.6326
1990-08-08,58.8134
1990-08-15,59.0054
1990-08-22,59.2957
1990-08-29,59.3562
1990-09-05,59.463
1990-09-12,59.7147
1990-09-19,59.697
1990-09-26,60.2241
1990-10-03,60.8239
1990-10-10,61.0149
1990-10-17,61.575
1990-10-24,62.0393
1990-10-31,62.2214
1990-11-07,62.3223
1990-11-14,62.4683
1990-11-21,62.7451
1990-11-28,62.7417
1990-12-05,63.3245
1990-12-12,63.0414
1990-12-19,63.4768
1990-12-26,63.6829
1991-01-02,63.7375
1991-01-09,63.8141
1991-01-16,64.0957
1991-01-23,64.2387
1991-01-30,64.3908
1991-02-06,64.4371
1991-02-13,65.1497
1991-02-20,65.4582
1991-02-27,65.6904
1991-03-06,65.8271
1991-03-13,66.0435
1991-03-20,66.2462
1991-03-27,66.4253
1991-04-03,66.5604
1991-04-10,66.7213
1991-04-17,66.9069
1991-04-24,66.7395
1991-05-01,66.8692
1991-05-08,67.0014
1991-05-15,67.1555
1991-05-22,67.3312
1991-05-29,67.5405
1991-06-05,68.0895
1991-06-12,68.1345
1991-06-19,68.0142
1991-06-26,68.0285
1991-07-03,68.1974
1991-07-10,68.3616
1991-07-17,68.4627
1991-07-24,68.5806
1991-07-31,68.6463
1991-08-07,68.7491
1991-08-14,68.8315
1991-08-21,69.1003
1991-08-28,69.1527
1991-09-04,69.2136
1991-09-11,69.519
1991-09-18,69.6821
1991-09-25,69.722
1991-10-02,70.192
1991-10-09,70.3537
1991-10-16,70.2893
1991-10-23,70.4764
1991-10-30,70.8081
1991-11-06,70.8824
1991-11-13,70.994
1991-11-20,71.2654
1991-11-27,71.3745
1991-12-04,71.5428
1991-12-11,71.768
1991-12-18,71.9694
1991-12-25,72.2692
1992-01-01,72.0345
1992-01-08,72.0556
1992-01-15,72.254
1992-01-22,72.3156
1992-01-29,72.458
1992-02-05,72.4169
1992-02-12,72.3059
1992-02-19,72.3203
1992-02-26,72.3481
1992-03-04,72.3024
1992-03-11,72.2746
1992-03-18,72.3503
1992-03-25,72.4024
1992-04-01,72.9229
1992-04-08,72.8208
1992-04-15,72.9038
1992-04-22,72.8671
1992-04-29,72.9642
1992-05-06,73.1649
1992-05-13,73.2772
1992-05-20,73.3408
1992-05-27,73.3534
1992-06-03,73.2517
1992-06-10,73.4892
1992-06-17,73.4252
1992-06-24,73.6472
1992-07-01,73.7654
1992-07-08,73.803
1992-07-15,73.9837
1992-07-22,74.0636
1992-07-29,74.0753
1992-08-05,74.0857
1992-08-12,74.1512
1992-08-19,74.2922
1992-08-26,74.2601
1992-09-02,73.9641
1992-09-09,73.9606
1992-09-16,74.0997
1992-09-23,74.1093
1992-09-30,74.4854
1992-10-07,74.8537
1992-10-14,74.7454
1992-10-21,74.662
1992-10-28,74.6032
1992-11-04,74.6245
1992-11-11,74.8591
1992-11-18,74.9303
1992-11-25,74.8552
1992-12-02,74.7831
1992-12-09,75.1356
1992-12-16,75.0895
1992-12-23,74.9547
1992-12-30,75.1351
1993-01-06,75.1655
1993-01-13,75.0857
1993-01-20,75.2164
1993-01-27,75.3102
1993-02-03,75.2622
1993-02-10,75.2354
1993-02-17,75.2886
1993-02-24,75.3925
1993-03-03,75.8361
1993-03-10,75.8912
1993-03-17,75.9804
1993-03-24,76.0807
1993-03-31,76.2695
1993-04-07,76.2052
1993-04-14,76.2474
1993-04-21,76.3417
1993-04-28,76.3583
1993-05-05,76.3625
1993-05-12,76.3788
1993-05-19,76.3601
1993-05-26,76.4798
1993-06-02,76.2766
1993-06-09,76.2392
1993-06-16,76.5115
1993-06-23,76.387
1993-06-30,76.3558
1993-07-07,76.4378
1993-07-14,75.4929
1993-07-21,75.2988
1993-07-28,74.9628
1993-08-04,74.678
1993-08-11,74.4387
1993-08-18,74.3191
1993-08-25,74.1718
1993-09-01,76.5527
1993-09-08,76.3902
1993-09-15,76.2284
