DATE,SAVINGSL
1959-01-01,136.0
1959-02-01,136.6
1959-03-01,137.6
1959-04-01,138.4
1959-05-01,139.5
1959-06-01,140.7
1959-07-01,141.4
1959-08-01,142.3
1959-09-01,143.3
1959-10-01,143.8
1959-11-01,145.0
1959-12-01,146.5
1960-01-01,146.7
1960-02-01,147.1
1960-03-01,148.0
1960-04-01,148.7
1960-05-01,149.5
1960-06-01,150.7
1960-07-01,151.5
1960-08-01,152.8
1960-09-01,154.3
1960-10-01,155.5
1960-11-01,157.4
1960-12-01,159.1
1961-01-01,160.3
1961-02-01,161.9
1961-03-01,163.3
1961-04-01,164.3
1961-05-01,165.5
1961-06-01,167.0
1961-07-01,167.9
1961-08-01,169.1
1961-09-01,170.4
1961-10-01,171.5
1961-11-01,173.7
1961-12-01,175.5
1962-01-01,176.6
1962-02-01,178.0
1962-03-01,179.7
1962-04-01,181.0
1962-05-01,182.4
1962-06-01,184.1
1962-07-01,185.5
1962-08-01,187.0
1962-09-01,188.8
1962-10-01,190.3
1962-11-01,192.7
1962-12-01,194.8
1963-01-01,196.3
1963-02-01,198.1
1963-03-01,200.1
1963-04-01,201.6
1963-05-01,203.3
1963-06-01,205.2
1963-07-01,206.5
1963-08-01,207.9
1963-09-01,209.5
1963-10-01,210.3
1963-11-01,212.6
1963-12-01,214.4
1964-01-01,215.6
1964-02-01,217.2
1964-03-01,218.9
1964-04-01,220.3
1964-05-01,222.1
1964-06-01,224.1
1964-07-01,225.5
1964-08-01,227.4
1964-09-01,229.4
1964-10-01,230.8
1964-11-01,233.2
1964-12-01,235.2
1965-01-01,236.9
1965-02-01,238.8
1965-03-01,240.7
1965-04-01,242.1
1965-05-01,243.7
1965-06-01,245.7
1965-07-01,247.1
1965-08-01,248.8
1965-09-01,250.8
1965-10-01,252.3
1965-11-01,254.8
1965-12-01,256.9
1966-01-01,257.6
1966-02-01,258.3
1966-03-01,258.1
1966-04-01,256.0
1966-05-01,255.1
1966-06-01,254.7
1966-07-01,254.3
1966-08-01,253.2
1966-09-01,253.1
1966-10-01,252.2
1966-11-01,252.6
1966-12-01,253.1
1967-01-01,252.7
1967-02-01,252.9
1967-03-01,253.9
1967-04-01,255.1
1967-05-01,256.7
1967-06-01,258.3
1967-07-01,259.5
1967-08-01,260.8
1967-09-01,262.0
1967-10-01,262.6
1967-11-01,263.4
1967-12-01,263.7
1968-01-01,263.2
1968-02-01,263.5
1968-03-01,264.3
1968-04-01,264.3
1968-05-01,264.5
1968-06-01,264.9
1968-07-01,264.6
1968-08-01,265.3
1968-09-01,266.5
1968-10-01,266.7
1968-11-01,267.4
1968-12-01,268.9
1969-01-01,268.7
1969-02-01,268.2
1969-03-01,268.9
1969-04-01,267.9
1969-05-01,267.3
1969-06-01,267.9
1969-07-01,266.0
1969-08-01,264.4
1969-09-01,264.6
1969-10-01,263.5
1969-11-01,263.3
1969-12-01,263.7
1970-01-01,262.7
1970-02-01,257.9
1970-03-01,254.5
1970-04-01,251.4
1970-05-01,250.1
1970-06-01,250.4
1970-07-01,251.5
1970-08-01,252.9
1970-09-01,255.1
1970-10-01,257.0
1970-11-01,258.8
1970-12-01,261.0
1971-01-01,263.6
1971-02-01,266.1
1971-03-01,269.5
1971-04-01,272.6
1971-05-01,275.7
1971-06-01,278.2
1971-07-01,280.8
1971-08-01,283.4
1971-09-01,286.0
1971-10-01,288.2
1971-11-01,290.2
1971-12-01,292.2
1972-01-01,294.7
1972-02-01,297.1
1972-03-01,299.5
1972-04-01,301.1
1972-05-01,302.7
1972-06-01,304.9
1972-07-01,307.7
1972-08-01,311.2
1972-09-01,314.3
1972-10-01,316.6
1972-11-01,319.2
1972-12-01,321.4
1973-01-01,322.7
1973-02-01,323.1
1973-03-01,323.5
1973-04-01,323.8
1973-05-01,325.1
1973-06-01,326.6
1973-07-01,327.4
1973-08-01,325.9
1973-09-01,325.0
1973-10-01,325.5
1973-11-01,325.8
1973-12-01,326.8
1974-01-01,327.6
1974-02-01,327.8
1974-03-01,328.8
1974-04-01,329.5
1974-05-01,329.7
1974-06-01,330.4
1974-07-01,331.7
1974-08-01,332.0
1974-09-01,332.7
1974-10-01,334.2
1974-11-01,336.2
