DATE,WSAVNS
1975-01-06,135.900
1975-01-13,136.400
1975-01-20,136.500
1975-01-27,136.700
1975-02-03,136.900
1975-02-10,137.700
1975-02-17,138.200
1975-02-24,138.700
1975-03-03,139.400
1975-03-10,140.700
1975-03-17,141.700
1975-03-24,142.700
1975-03-31,143.700
1975-04-07,145.100
1975-04-14,145.500
1975-04-21,145.400
1975-04-28,145.600
1975-05-05,146.000
1975-05-12,146.900
1975-05-19,147.600
1975-05-26,148.400
1975-06-02,149.300
1975-06-09,150.700
1975-06-16,151.500
1975-06-23,152.200
1975-06-30,152.500
1975-07-07,153.400
1975-07-14,153.700
1975-07-21,153.800
1975-07-28,153.700
1975-08-04,153.600
1975-08-11,153.900
1975-08-18,153.900
1975-08-25,153.800
1975-09-01,153.800
1975-09-08,154.100
1975-09-15,154.100
1975-09-22,154.200
1975-09-29,154.600
1975-10-06,155.500
1975-10-13,155.700
1975-10-20,155.800
1975-10-27,155.800
1975-11-03,155.400
1975-11-10,155.800
1975-11-17,156.500
1975-11-24,157.200
1975-12-01,157.700
1975-12-08,158.600
1975-12-15,158.800
1975-12-22,158.800
1975-12-29,159.200
1976-01-05,160.400
1976-01-12,162.100
1976-01-19,163.400
1976-01-26,164.900
1976-02-02,166.300
1976-02-09,168.600
1976-02-16,170.000
1976-02-23,170.800
1976-03-01,171.800
1976-03-08,173.400
1976-03-15,175.000
1976-03-22,176.100
1976-03-29,177.300
1976-04-05,179.200
1976-04-12,180.100
1976-04-19,179.700
1976-04-26,180.300
1976-05-03,180.800
1976-05-10,182.000
1976-05-17,182.600
1976-05-24,183.000
1976-05-31,182.800
1976-06-07,183.200
1976-06-14,183.000
1976-06-21,182.900
1976-06-28,182.800
1976-07-05,183.700
1976-07-12,184.500
1976-07-19,184.600
1976-07-26,184.900
1976-08-02,185.100
1976-08-09,185.800
1976-08-16,186.000
1976-08-23,186.200
1976-08-30,186.600
1976-09-06,187.300
1976-09-13,187.900
1976-09-20,188.000
1976-09-27,188.700
1976-10-04,190.500
1976-10-11,191.800
1976-10-18,192.100
1976-10-25,192.900
1976-11-01,193.000
1976-11-08,194.000
1976-11-15,194.800
1976-11-22,195.600
1976-11-29,196.200
1976-12-06,197.600
1976-12-13,198.600
1976-12-20,199.200
1976-12-27,199.400
1977-01-03,201.200
1977-01-10,203.300
1977-01-17,203.700
1977-01-24,204.300
1977-01-31,204.600
1977-02-07,205.600
1977-02-14,206.300
1977-02-21,206.900
1977-02-28,207.300
1977-03-07,208.600
1977-03-14,209.800
1977-03-21,210.600
1977-03-28,211.700
1977-04-04,213.500
1977-04-11,214.400
1977-04-18,213.300
1977-04-25,213.000
1977-05-02,213.000
1977-05-09,214.100
1977-05-16,214.300
1977-05-23,214.600
1977-05-30,214.200
1977-06-06,214.800
1977-06-13,214.900
1977-06-20,214.500
1977-06-27,214.300
1977-07-04,215.200
1977-07-11,215.900
1977-07-18,215.900
